_id,type,model
ObjectId(6aab704c2021a88c01ad89fb),laptop,kz
ObjectId(6aab704c2021a88c01ad89fc),laptop,qw2
ObjectId(6aab704c2021a88c01ad89fd),laptop,ki2
ObjectId(6aab704c2021a88c01ad89fe),laptop,ay9
ObjectId(6aab704c2021a88c01ad89ff),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a00),laptop,kz
ObjectId(6aab704c2021a88c01ad8a01),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a02),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a03),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a04),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a05),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a06),laptop,j3
ObjectId(6aab704c2021a88c01ad8a07),laptop,k12
ObjectId(6aab704c2021a88c01ad8a08),laptop,k12
ObjectId(6aab704c2021a88c01ad8a09),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a0a),laptop,c6
ObjectId(6aab704c2021a88c01ad8a0b),laptop,j3
ObjectId(6aab704c2021a88c01ad8a0c),laptop,k12
ObjectId(6aab704c2021a88c01ad8a0d),laptop,kz
ObjectId(6aab704c2021a88c01ad8a0e),laptop,k12
ObjectId(6aab704c2021a88c01ad8a0f),laptop,k12
ObjectId(6aab704c2021a88c01ad8a10),laptop,j3
ObjectId(6aab704c2021a88c01ad8a11),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a12),laptop,kz
ObjectId(6aab704c2021a88c01ad8a13),laptop,k12
ObjectId(6aab704c2021a88c01ad8a14),laptop,kz
ObjectId(6aab704c2021a88c01ad8a15),laptop,k12
ObjectId(6aab704c2021a88c01ad8a16),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a17),laptop,k12
ObjectId(6aab704c2021a88c01ad8a18),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a19),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a1a),laptop,kz
ObjectId(6aab704c2021a88c01ad8a1b),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a1c),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a1d),laptop,j3
ObjectId(6aab704c2021a88c01ad8a1e),laptop,c6
ObjectId(6aab704c2021a88c01ad8a1f),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a20),laptop,c6
ObjectId(6aab704c2021a88c01ad8a21),laptop,j3
ObjectId(6aab704c2021a88c01ad8a22),laptop,j3
ObjectId(6aab704c2021a88c01ad8a23),laptop,kz
ObjectId(6aab704c2021a88c01ad8a24),laptop,k12
ObjectId(6aab704c2021a88c01ad8a25),laptop,kz
ObjectId(6aab704c2021a88c01ad8a26),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a27),laptop,c6
ObjectId(6aab704c2021a88c01ad8a28),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a29),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a2a),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a2b),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a2c),laptop,j3
ObjectId(6aab704c2021a88c01ad8a2d),laptop,c6
ObjectId(6aab704c2021a88c01ad8a2e),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a2f),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a30),laptop,kz
ObjectId(6aab704c2021a88c01ad8a31),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a32),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a33),laptop,k12
ObjectId(6aab704c2021a88c01ad8a34),laptop,kz
ObjectId(6aab704c2021a88c01ad8a35),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a36),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a37),laptop,kz
ObjectId(6aab704c2021a88c01ad8a38),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a39),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a3a),laptop,k12
ObjectId(6aab704c2021a88c01ad8a3b),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a3c),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a3d),laptop,kz
ObjectId(6aab704c2021a88c01ad8a3e),laptop,j3
ObjectId(6aab704c2021a88c01ad8a3f),laptop,k12
ObjectId(6aab704c2021a88c01ad8a40),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a41),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a42),laptop,k12
ObjectId(6aab704c2021a88c01ad8a43),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a44),laptop,kz
ObjectId(6aab704c2021a88c01ad8a45),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a46),laptop,c6
ObjectId(6aab704c2021a88c01ad8a47),laptop,kz
ObjectId(6aab704c2021a88c01ad8a48),laptop,k12
ObjectId(6aab704c2021a88c01ad8a49),laptop,kz
ObjectId(6aab704c2021a88c01ad8a4a),laptop,j3
ObjectId(6aab704c2021a88c01ad8a4b),laptop,kz
ObjectId(6aab704c2021a88c01ad8a4c),laptop,k12
ObjectId(6aab704c2021a88c01ad8a4d),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a4e),laptop,c6
ObjectId(6aab704c2021a88c01ad8a4f),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a50),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a51),laptop,c6
ObjectId(6aab704c2021a88c01ad8a52),laptop,c6
ObjectId(6aab704c2021a88c01ad8a53),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a54),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a55),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a56),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a57),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a58),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a59),laptop,k12
ObjectId(6aab704c2021a88c01ad8a5a),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a5b),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a5c),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a5d),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a5e),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a5f),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a60),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a61),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a62),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a63),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a64),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a65),laptop,c6
ObjectId(6aab704c2021a88c01ad8a66),laptop,j3
ObjectId(6aab704c2021a88c01ad8a67),laptop,kz
ObjectId(6aab704c2021a88c01ad8a68),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a69),laptop,k12
ObjectId(6aab704c2021a88c01ad8a6a),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a6b),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a6c),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a6d),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a6e),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a6f),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a70),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a71),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a72),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a73),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a74),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a75),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a76),laptop,kz
ObjectId(6aab704c2021a88c01ad8a77),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a78),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a79),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a7a),laptop,kz
ObjectId(6aab704c2021a88c01ad8a7b),laptop,c6
ObjectId(6aab704c2021a88c01ad8a7c),laptop,c6
ObjectId(6aab704c2021a88c01ad8a7d),laptop,j3
ObjectId(6aab704c2021a88c01ad8a7e),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a7f),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a80),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a81),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a82),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a83),laptop,kz
ObjectId(6aab704c2021a88c01ad8a84),laptop,kz
ObjectId(6aab704c2021a88c01ad8a85),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a86),laptop,k12
ObjectId(6aab704c2021a88c01ad8a87),laptop,c6
ObjectId(6aab704c2021a88c01ad8a88),laptop,j3
ObjectId(6aab704c2021a88c01ad8a89),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a8a),laptop,kz
ObjectId(6aab704c2021a88c01ad8a8b),laptop,k12
ObjectId(6aab704c2021a88c01ad8a8c),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a8d),laptop,c6
ObjectId(6aab704c2021a88c01ad8a8e),laptop,kz
ObjectId(6aab704c2021a88c01ad8a8f),laptop,ay9
ObjectId(6aab704c2021a88c01ad8a90),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a91),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a92),laptop,qw2
ObjectId(6aab704c2021a88c01ad8a93),laptop,c6
ObjectId(6aab704c2021a88c01ad8a94),laptop,k12
ObjectId(6aab704c2021a88c01ad8a95),laptop,j3
ObjectId(6aab704c2021a88c01ad8a96),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a97),laptop,jl3
ObjectId(6aab704c2021a88c01ad8a98),laptop,ki2
ObjectId(6aab704c2021a88c01ad8a99),laptop,c6
ObjectId(6aab704c2021a88c01ad8a9a),laptop,c6
ObjectId(6aab704c2021a88c01ad8a9b),laptop,j3
ObjectId(6aab704c2021a88c01ad8a9c),laptop,kz
ObjectId(6aab704c2021a88c01ad8a9d),laptop,zeta
ObjectId(6aab704c2021a88c01ad8a9e),laptop,j3
ObjectId(6aab704c2021a88c01ad8a9f),laptop,jl3
ObjectId(6aab704c2021a88c01ad8aa0),laptop,jl3
ObjectId(6aab704c2021a88c01ad8aa1),laptop,c6
ObjectId(6aab704c2021a88c01ad8aa2),laptop,ay9
ObjectId(6aab704c2021a88c01ad8aa3),laptop,zeta
ObjectId(6aab704c2021a88c01ad8aa4),laptop,k12
ObjectId(6aab704c2021a88c01ad8aa5),laptop,ay9
ObjectId(6aab704c2021a88c01ad8aa6),laptop,jl3
ObjectId(6aab704c2021a88c01ad8aa7),laptop,kz
ObjectId(6aab704c2021a88c01ad8aa8),laptop,qw2
ObjectId(6aab704c2021a88c01ad8aa9),laptop,kz
ObjectId(6aab704c2021a88c01ad8aaa),laptop,ay9
ObjectId(6aab704c2021a88c01ad8aab),laptop,ki2
ObjectId(6aab704c2021a88c01ad8aac),laptop,kz
ObjectId(6aab704c2021a88c01ad8aad),laptop,c6
ObjectId(6aab704c2021a88c01ad8aae),laptop,j3
ObjectId(6aab704c2021a88c01ad8aaf),laptop,j3
ObjectId(6aab704c2021a88c01ad8ab0),laptop,jl3
ObjectId(6aab704c2021a88c01ad8ab1),laptop,j3
ObjectId(6aab704c2021a88c01ad8ab2),laptop,j3
ObjectId(6aab704c2021a88c01ad8ab3),laptop,j3
ObjectId(6aab704c2021a88c01ad8ab4),laptop,c6
ObjectId(6aab704c2021a88c01ad8ab5),laptop,ay9
ObjectId(6aab704c2021a88c01ad8ab6),laptop,qw2
ObjectId(6aab704c2021a88c01ad8ab7),laptop,ki2
ObjectId(6aab704c2021a88c01ad8ab8),laptop,zeta
ObjectId(6aab704c2021a88c01ad8ab9),laptop,kz
ObjectId(6aab704c2021a88c01ad8aba),laptop,kz
ObjectId(6aab704c2021a88c01ad8abb),laptop,ay9
ObjectId(6aab704c2021a88c01ad8abc),laptop,k12
ObjectId(6aab704c2021a88c01ad8abd),laptop,ki2
ObjectId(6aab704c2021a88c01ad8abe),laptop,c6
ObjectId(6aab704c2021a88c01ad8abf),laptop,zeta
ObjectId(6aab704c2021a88c01ad8ac0),laptop,ki2
ObjectId(6aab704c2021a88c01ad8ac1),laptop,c6
ObjectId(6aab704c2021a88c01ad8ac2),laptop,j3
ObjectId(6aab704c2021a88c01ad8ac3),laptop,kz
ObjectId(6aab704c2021a88c01ad8ac4),laptop,c6
ObjectId(6aab704c2021a88c01ad8ac5),laptop,c6
ObjectId(6aab704c2021a88c01ad8ac6),laptop,kz
ObjectId(6aab704c2021a88c01ad8ac7),laptop,k12
ObjectId(6aab704c2021a88c01ad8ac8),laptop,qw2
ObjectId(6aab704c2021a88c01ad8ac9),laptop,kz
ObjectId(6aab704c2021a88c01ad8aca),laptop,qw2
ObjectId(6aab704c2021a88c01ad8acb),laptop,zeta
ObjectId(6aab704c2021a88c01ad8acc),laptop,qw2
ObjectId(6aab704c2021a88c01ad8acd),laptop,jl3
ObjectId(6aab704c2021a88c01ad8ace),laptop,k12
ObjectId(6aab704c2021a88c01ad8acf),laptop,zeta
ObjectId(6aab704c2021a88c01ad8ad0),laptop,qw2
ObjectId(6aab704c2021a88c01ad8ad1),laptop,qw2
ObjectId(6aab704c2021a88c01ad8ad2),laptop,j3
ObjectId(6aab704c2021a88c01ad8ad3),laptop,c6
ObjectId(6aab704c2021a88c01ad8ad4),laptop,jl3
ObjectId(6aab704c2021a88c01ad8ad5),laptop,ki2
ObjectId(6aab704c2021a88c01ad8ad6),laptop,ki2
ObjectId(6aab704c2021a88c01ad8ad7),laptop,zeta
ObjectId(6aab704c2021a88c01ad8ad8),laptop,kz
ObjectId(6aab704c2021a88c01ad8ad9),laptop,k12
ObjectId(6aab704c2021a88c01ad8ada),laptop,c6
ObjectId(6aab704c2021a88c01ad8adb),laptop,j3
ObjectId(6aab704c2021a88c01ad8adc),laptop,ay9
ObjectId(6aab704c2021a88c01ad8add),laptop,k12
ObjectId(6aab704c2021a88c01ad8ade),laptop,j3
ObjectId(6aab704c2021a88c01ad8adf),laptop,zeta
ObjectId(6aab704c2021a88c01ad8ae0),laptop,j3
ObjectId(6aab704c2021a88c01ad8ae1),laptop,qw2
ObjectId(6aab704c2021a88c01ad8ae2),laptop,c6
ObjectId(6aab704c2021a88c01ad8ae3),laptop,c6
ObjectId(6aab704c2021a88c01ad8ae4),laptop,c6
ObjectId(6aab704c2021a88c01ad8ae5),laptop,qw2
ObjectId(6aab704c2021a88c01ad8ae6),laptop,ki2
ObjectId(6aab704c2021a88c01ad8ae7),laptop,c6
ObjectId(6aab704c2021a88c01ad8ae8),laptop,zeta
ObjectId(6aab704c2021a88c01ad8ae9),laptop,jl3
ObjectId(6aab704c2021a88c01ad8aea),laptop,ki2
ObjectId(6aab704c2021a88c01ad8aeb),laptop,ay9
ObjectId(6aab704c2021a88c01ad8aec),laptop,c6
ObjectId(6aab704c2021a88c01ad8aed),laptop,zeta
ObjectId(6aab704c2021a88c01ad8aee),laptop,ay9
ObjectId(6aab704c2021a88c01ad8aef),laptop,j3
ObjectId(6aab704c2021a88c01ad8af0),laptop,jl3
ObjectId(6aab704c2021a88c01ad8af1),laptop,ay9
ObjectId(6aab704c2021a88c01ad8af2),laptop,c6
ObjectId(6aab704c2021a88c01ad8af3),laptop,qw2
ObjectId(6aab704c2021a88c01ad8af4),laptop,k12
ObjectId(6aab704c2021a88c01ad8af5),laptop,qw2
ObjectId(6aab704c2021a88c01ad8af6),laptop,qw2
ObjectId(6aab704c2021a88c01ad8af7),laptop,c6
ObjectId(6aab704c2021a88c01ad8af8),laptop,ki2
ObjectId(6aab704c2021a88c01ad8af9),laptop,jl3
ObjectId(6aab704c2021a88c01ad8afa),laptop,ki2
ObjectId(6aab704c2021a88c01ad8afb),laptop,ki2
ObjectId(6aab704c2021a88c01ad8afc),laptop,jl3
ObjectId(6aab704c2021a88c01ad8afd),laptop,j3
ObjectId(6aab704c2021a88c01ad8afe),laptop,j3
ObjectId(6aab704c2021a88c01ad8aff),laptop,k12
ObjectId(6aab704c2021a88c01ad8b00),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b01),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b02),laptop,k12
ObjectId(6aab704c2021a88c01ad8b03),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b04),laptop,j3
ObjectId(6aab704c2021a88c01ad8b05),laptop,kz
ObjectId(6aab704c2021a88c01ad8b06),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b07),laptop,ay9
ObjectId(6aab704c2021a88c01ad8b08),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b09),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b0a),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b0b),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b0c),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b0d),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b0e),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b0f),laptop,c6
ObjectId(6aab704c2021a88c01ad8b10),laptop,k12
ObjectId(6aab704c2021a88c01ad8b11),laptop,kz
ObjectId(6aab704c2021a88c01ad8b12),laptop,j3
ObjectId(6aab704c2021a88c01ad8b13),laptop,j3
ObjectId(6aab704c2021a88c01ad8b14),laptop,j3
ObjectId(6aab704c2021a88c01ad8b15),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b16),laptop,j3
ObjectId(6aab704c2021a88c01ad8b17),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b18),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b19),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b1a),laptop,k12
ObjectId(6aab704c2021a88c01ad8b1b),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b1c),laptop,k12
ObjectId(6aab704c2021a88c01ad8b1d),laptop,ki2
ObjectId(6aab704c2021a88c01ad8b1e),laptop,ki2
ObjectId(6aab704c2021a88c01ad8b1f),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b20),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b21),laptop,c6
ObjectId(6aab704c2021a88c01ad8b22),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b23),laptop,ay9
ObjectId(6aab704c2021a88c01ad8b24),laptop,k12
ObjectId(6aab704c2021a88c01ad8b25),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b26),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b27),laptop,ki2
ObjectId(6aab704c2021a88c01ad8b28),laptop,kz
ObjectId(6aab704c2021a88c01ad8b29),laptop,j3
ObjectId(6aab704c2021a88c01ad8b2a),laptop,kz
ObjectId(6aab704c2021a88c01ad8b2b),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b2c),laptop,c6
ObjectId(6aab704c2021a88c01ad8b2d),laptop,kz
ObjectId(6aab704c2021a88c01ad8b2e),laptop,k12
ObjectId(6aab704c2021a88c01ad8b2f),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b30),laptop,ay9
ObjectId(6aab704c2021a88c01ad8b31),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b32),laptop,j3
ObjectId(6aab704c2021a88c01ad8b33),laptop,j3
ObjectId(6aab704c2021a88c01ad8b34),laptop,j3
ObjectId(6aab704c2021a88c01ad8b35),laptop,j3
ObjectId(6aab704c2021a88c01ad8b36),laptop,c6
ObjectId(6aab704c2021a88c01ad8b37),television,jk23
ObjectId(6aab704c2021a88c01ad8b38),laptop,ay9
ObjectId(6aab704c2021a88c01ad8b39),television,k20
ObjectId(6aab704c2021a88c01ad8b3a),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b3b),television,jk23
ObjectId(6aab704c2021a88c01ad8b3c),television,boom
ObjectId(6aab704c2021a88c01ad8b3d),television,jk23
ObjectId(6aab704c2021a88c01ad8b3e),laptop,ay9
ObjectId(6aab704c2021a88c01ad8b3f),laptop,ay9
ObjectId(6aab704c2021a88c01ad8b40),laptop,j3
ObjectId(6aab704c2021a88c01ad8b41),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b42),television,ss2
ObjectId(6aab704c2021a88c01ad8b43),laptop,qw2
ObjectId(6aab704c2021a88c01ad8b44),television,ss2
ObjectId(6aab704c2021a88c01ad8b45),laptop,zeta
ObjectId(6aab704c2021a88c01ad8b46),laptop,jl3
ObjectId(6aab704c2021a88c01ad8b47),laptop,ki2
ObjectId(6aab704c2021a88c01ad8b48),television,jk23
ObjectId(6aab704c2021a88c01ad8b49),television,jk23
ObjectId(6aab704c2021a88c01ad8b4a),television,boom
ObjectId(6aab704c2021a88c01ad8b4b),television,dj1
ObjectId(6aab704c2021a88c01ad8b4c),television,dj1
ObjectId(6aab704c2021a88c01ad8b4d),television,ss2
ObjectId(6aab704c2021a88c01ad8b4e),television,boom
ObjectId(6aab704c2021a88c01ad8b4f),television,k20
ObjectId(6aab704c2021a88c01ad8b50),television,k20
ObjectId(6aab704c2021a88c01ad8b51),television,dj1
ObjectId(6aab704c2021a88c01ad8b52),television,boom
ObjectId(6aab704c2021a88c01ad8b53),television,ss2
ObjectId(6aab704c2021a88c01ad8b54),television,k20
ObjectId(6aab704c2021a88c01ad8b55),television,k20
ObjectId(6aab704c2021a88c01ad8b56),television,boom
ObjectId(6aab704c2021a88c01ad8b57),television,dj1
ObjectId(6aab704c2021a88c01ad8b58),television,dj1
ObjectId(6aab704c2021a88c01ad8b59),television,ss2
